time,pmt 2.5,pmt 10
2021-02-08 11:03:50.163108,13.0,16.5
2021-02-08 11:04:20.247706,12.8,16.2
2021-02-08 11:04:50.415283,12.1,16.0
2021-02-08 11:05:20.583268,12.3,18.9
2021-02-08 11:05:50.753052,12.2,15.8
2021-02-08 11:06:20.922435,12.8,17.9
2021-02-08 11:06:50.995990,13.5,16.6
2021-02-08 11:07:21.165259,12.4,16.7
2021-02-08 11:07:51.328987,13.0,17.2
2021-02-08 11:08:21.494918,13.1,16.1
2021-02-08 11:08:51.662055,12.9,14.8
2021-02-08 11:09:21.831313,12.4,14.5
2021-02-08 11:09:51.996939,12.2,15.8
2021-02-08 11:10:22.161528,12.5,17.2
2021-02-08 11:10:52.325943,13.5,17.9
2021-02-08 11:11:22.488911,13.2,16.5
2021-02-08 11:11:52.655685,13.6,15.7
2021-02-08 11:12:22.819016,14.2,18.5
2021-02-08 11:12:52.980310,12.3,17.5
2021-02-08 11:13:23.143509,11.4,13.9
2021-02-08 11:13:53.304125,11.6,15.0
2021-02-08 11:14:23.471483,11.8,15.4
2021-02-08 11:14:53.638483,11.6,15.3
2021-02-08 11:15:23.806641,11.3,13.6
2021-02-08 11:15:53.974008,13.7,17.9
2021-02-08 11:16:24.140780,12.9,16.6
2021-02-08 11:16:54.310975,12.4,14.8
2021-02-08 11:17:24.476346,12.2,15.7
2021-02-08 11:17:54.545615,11.6,14.2
2021-02-08 11:18:24.616413,11.3,13.4
2021-02-08 11:18:54.784884,11.2,15.1
2021-02-08 11:19:24.952571,12.3,18.0
2021-02-08 11:19:55.123543,12.3,18.3
2021-02-08 11:20:25.290224,11.7,15.9
2021-02-08 11:20:55.457777,11.8,14.4
2021-02-08 11:21:25.623464,13.0,16.5
2021-02-08 11:21:55.783527,11.7,13.6
2021-02-08 11:22:25.953754,12.6,18.0
2021-02-08 11:22:56.120493,12.5,14.0
2021-02-08 11:23:26.289009,12.6,15.6
2021-02-08 11:23:56.457129,12.3,13.8
2021-02-08 11:24:26.626176,12.4,17.4
2021-02-08 11:24:56.792646,12.6,14.9
2021-02-08 11:25:26.958602,12.6,15.5
2021-02-08 11:25:57.124955,12.0,14.5
2021-02-08 11:26:27.292951,12.7,15.5
2021-02-08 11:26:57.458206,11.4,15.2
2021-02-08 11:27:27.625975,11.1,14.5
2021-02-08 11:27:57.791589,11.3,14.0
2021-02-08 11:28:27.861794,11.2,14.1
2021-02-08 11:28:58.030498,11.1,13.9
2021-02-08 11:29:28.102182,10.7,12.9
2021-02-08 11:29:58.175763,11.8,13.8
2021-02-08 11:30:28.248737,11.5,13.3
2021-02-08 11:30:58.421843,12.2,14.7
2021-02-08 11:31:28.589264,11.8,13.8
2021-02-08 11:31:58.758026,11.3,14.0
2021-02-08 11:32:28.828425,11.9,14.0
2021-02-08 11:32:58.899999,12.9,16.1
2021-02-08 11:33:28.976650,13.5,16.7
2021-02-08 11:33:59.048521,13.6,15.2
2021-02-08 11:34:29.123193,11.5,13.4
2021-02-08 11:34:59.196703,13.4,17.1
2021-02-08 11:35:29.362017,13.9,17.5
2021-02-08 11:35:59.529291,13.2,16.0
2021-02-08 11:36:29.692767,13.8,19.1
2021-02-08 11:36:59.861131,14.4,16.7
2021-02-08 11:37:30.031634,12.1,15.3
2021-02-08 11:38:00.196411,12.2,15.5
2021-02-08 11:38:30.360607,12.2,14.9
2021-02-08 11:39:00.525373,14.2,17.0
2021-02-08 11:39:30.690296,13.8,17.2
2021-02-08 11:40:00.857516,15.3,21.6
2021-02-08 11:40:31.024747,16.0,18.0
2021-02-08 11:41:01.192435,16.4,18.4
2021-02-08 11:41:31.356139,16.8,19.9
2021-02-08 11:42:01.521281,16.9,20.1
2021-02-08 11:42:31.692864,17.2,19.3
2021-02-08 11:43:01.859490,17.5,19.6
2021-02-08 11:43:32.020220,17.6,20.7
2021-02-08 11:44:02.184396,17.4,19.5
2021-02-08 11:44:32.347825,16.9,18.9
2021-02-08 11:45:02.515651,16.8,19.4
2021-02-08 11:45:32.676668,16.9,20.7
2021-02-08 11:46:02.838279,17.5,21.1
2021-02-08 11:46:32.999639,16.3,19.4
2021-02-08 11:47:03.159556,12.7,16.5
2021-02-08 11:47:33.323831,14.1,16.5
2021-02-08 11:48:03.487656,13.2,17.3
2021-02-08 11:48:33.652835,13.1,15.6
2021-02-08 11:49:03.818737,14.5,18.0
2021-02-08 11:49:33.978489,12.7,14.6
2021-02-08 11:50:04.142358,15.5,18.9
2021-02-08 11:50:34.301394,16.3,19.6
2021-02-08 11:51:04.464553,16.4,20.1
2021-02-08 11:51:34.627894,13.2,14.7
2021-02-08 11:52:04.793539,12.7,15.3
2021-02-08 11:52:34.961686,12.2,16.3
2021-02-08 11:53:05.126832,12.4,13.9
2021-02-08 11:53:35.287124,13.0,15.6
2021-02-08 11:54:05.447667,15.8,18.4
2021-02-08 11:54:35.611086,17.0,19.5
2021-02-08 11:55:05.775701,18.9,25.2
2021-02-08 11:55:35.937434,19.1,23.7
2021-02-08 11:56:06.095365,19.8,24.3
2021-02-08 11:56:36.255740,18.7,24.8
2021-02-08 11:57:06.416099,18.1,30.2
2021-02-08 11:57:36.579598,12.9,17.8
2021-02-08 11:58:06.737313,14.9,17.9
2021-02-08 11:58:36.893468,14.2,19.2
2021-02-08 11:59:07.048254,13.1,15.6
2021-02-08 11:59:37.211713,16.6,23.5
2021-02-08 12:00:07.373102,13.6,15.8
2021-02-08 12:00:37.530780,16.5,21.6
2021-02-08 12:01:07.691698,14.1,17.3
2021-02-08 12:01:37.852111,13.3,15.7
2021-02-08 12:02:08.010599,13.0,14.6
2021-02-08 12:02:38.175148,15.0,20.4
2021-02-08 12:03:08.332955,16.4,20.9
2021-02-08 12:03:38.489028,15.7,19.0
2021-02-08 12:04:08.656863,13.9,17.8
2021-02-08 12:04:38.823653,13.4,16.3
2021-02-08 12:05:08.996818,13.7,16.5
2021-02-08 12:05:39.164382,13.0,14.5
2021-02-08 12:06:09.327032,12.6,14.1
2021-02-08 12:06:39.490963,12.4,14.3
2021-02-08 12:07:09.654894,13.9,26.7
2021-02-08 12:07:39.823918,13.3,15.3
2021-02-08 12:08:09.986993,14.0,15.7
2021-02-08 12:08:40.148514,16.9,20.2
2021-02-08 12:09:10.306414,17.3,19.4
2021-02-08 12:09:40.464613,17.4,21.9
2021-02-08 12:10:10.625517,16.9,20.4
2021-02-08 12:10:40.780070,17.4,21.5
2021-02-08 12:11:10.938380,17.8,21.0
2021-02-08 12:11:41.097246,16.9,33.8
2021-02-08 12:12:11.260082,13.8,19.9
2021-02-08 12:12:41.428023,13.5,16.8
2021-02-08 12:13:11.591724,13.9,18.6
2021-02-08 12:13:41.756131,14.3,19.5
2021-02-08 12:14:11.921825,16.1,21.6
2021-02-08 12:14:42.089153,16.4,19.4
2021-02-08 12:15:12.257944,16.8,21.8
2021-02-08 12:15:42.421955,16.4,20.1
2021-02-08 12:16:12.583859,15.2,17.4
2021-02-08 12:16:42.750465,14.3,16.8
2021-02-08 12:17:12.915567,13.6,17.6
2021-02-08 12:17:43.088154,13.5,15.5
2021-02-08 12:18:13.252443,12.9,15.3
2021-02-08 12:18:43.412639,13.3,15.4
2021-02-08 12:19:13.573460,14.0,16.3
2021-02-08 12:19:43.731380,13.2,15.4
2021-02-08 12:20:13.895572,13.8,17.7
2021-02-08 12:20:44.055217,13.7,16.6
2021-02-08 12:21:14.216618,13.6,16.3
2021-02-08 12:21:44.379289,13.4,16.2
2021-02-08 12:22:14.536074,13.7,15.4
2021-02-08 12:22:44.696238,14.0,16.2
2021-02-08 12:23:14.853943,13.6,17.5
2021-02-08 12:23:45.011644,14.2,17.4
2021-02-08 12:24:15.170181,15.6,20.6
2021-02-08 12:24:45.326404,15.6,19.7
2021-02-08 12:25:15.485340,16.6,18.6
2021-02-08 12:25:45.646508,16.2,19.9
2021-02-08 12:26:15.806435,16.6,20.0
2021-02-08 12:26:45.969453,17.3,23.4
2021-02-08 12:27:16.131220,17.2,22.0
2021-02-08 12:27:46.293960,16.9,21.8
2021-02-08 12:28:16.451503,15.8,21.6
2021-02-08 12:28:46.609586,14.3,17.6
2021-02-08 12:29:16.768469,15.2,18.1
2021-02-08 12:29:46.926499,13.9,17.1
2021-02-08 12:30:17.090657,14.1,16.8
2021-02-08 12:30:47.249562,14.2,16.6
2021-02-08 12:31:17.408364,14.5,17.7
2021-02-08 12:31:47.567233,15.2,21.2
2021-02-08 12:32:17.729538,14.8,18.8
2021-02-08 12:32:47.887503,14.5,18.7
2021-02-08 12:33:18.047701,14.3,18.2
